Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;12,05029;;-1 + -1 + -1 + ;-8,055283;-0,515775;;376;-11,57105
2;24,0313;;-1 + -1 + -1 + ;2,365546;0,2500704;;59;-0,3843839
3;25,55886;;-1 + -1 + -1 + ;2,458893;0,2263994;;60;-0,314708
4;27,128;;-1 + ;2,090019;0,178904;;48;1,268923
5;28,46965;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,191397;0,182448;;51;-2,626155
6;29,9237;;-1 + -1 + -1 + -1 + -1 + ;2,285082;0,1869582;;54;-2,52796
7;31,36925;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,885149;0,1554142;;52;-1,959436
8;32,89446;;-1 + -1 + -1 + -1 + -1 + ;2,2835;0,1791931;;55;-2,537307
9;34,27744;;-1 + -1 + -1 + -1 + -1 + ;1,882752;0,1520045;;50;-2,965244
10;35,11093;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,616882;0,2487077;;61;-3,13441
11;36,46455;2 + ;-1 + -1 + -1 + ;8,819619;1,651595;;211;9,471213
12;41,17028;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,446627;0,152192;;60;-4,401181
13;42,186;;-1 + -1 + -1 + -1 + -1 + ;3,499375;0,5422444;;206;-0,9583817
14;46,29406;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,210849;0,2416295;;56;-5,547522
15;47,43711;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,2438257;0,1560404;;46;-5,600134
16;48,38184;;-1 + -1 + -1 + -1 + -1 + ;-0,09082118;0,1601216;;51;-4,9307
17;49,4284;;-1 + -1 + -1 + ;0,6155288;0,1672136;;46;-2,217257
18;50,36865;;-1 + ;-0,5009313;0,1536963;;43;-1,347235
19;51,2611;;-1 + -1 + -1 + -1 + -1 + ;1,760279;0,1608566;;46;-3,078865
20;52,17404;;-1 + -1 + -1 + ;2,315768;0,2304676;;56;-0,4537642
21;53,30862;;-1 + -1 + -1 + -1 + ;1,919469;0,1784445;;46;-1,902087
22;54,25068;;-1 + -1 + -1 + -1 + ;1,7619;0,1618886;;46;-2,076211
23;55,18581;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,155328;0,1954274;;51;-3,649245
24;56,22396;;-1 + -1 + ;2,024348;0,1769299;;46;0,2012773
25;57,16053;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,984906;0,1733503;;46;-3,841743
26;58,10571;;-1 + -1 + -1 + ;-0,8120872;0,1361395;;41;-3,675948
27;58,94347;;-1 + -1 + -1 + ;1,999967;0,176129;;46;-0,823904
28;59,89228;;-1 + -1 + -1 + -1 + ;1,622885;0,1560709;;42;-2,221044
29;60,74934;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,190146;0,1990459;;51;-3,610809
30;61,79231;;-1 + -1 + -1 + -1 + ;1,977762;0,1735974;;46;-1,84864
31;62,72641;;-1 + -1 + -1 + -1 + -1 + ;2,236277;0,2033924;;51;-2,560331
32;63,76386;;-1 + -1 + -1 + -1 + ;2,167722;0,2029978;;51;-1,62928
33;64,80756;;-1 + -1 + -1 + -1 + -1 + ;1,746917;0,1547811;;46;-3,098302
34;65,74938;;-1 + -1 + ;2,366453;0,2177543;;54;0,5842066
35;66,8719;;-1 + -1 + -1 + ;0,5419397;0,1756611;;51;-2,282399
36;67,8931;;-1 + -1 + ;1,08747;0,203699;;51;-0,7088306
37;68,91965;;-1 + -1 + ;1,961881;0,276605;;61;0,2384858
38;70,16994;2 + ;-1 + -1 + -1 + ;5,944224;1,121848;;151;6,066074
39;73,20422;2 + ;-1 + -1 + -1 + ;5,464391;0,9421313;;151;5,406523
40;76,24329;;-1 + -1 + -1 + ;4,737126;0,7045854;;126;2,44171
41;78,78992;;-1 + -1 + -1 + -1 + ;-0,2633371;0,917215;;281;-3,346122
42;84,43599;;-1 + -1 + -1 + -1 + ;0,4017993;1,326632;;281;-2,271568
43;90,0658;;-1 + -1 + -1 + ;3,433901;0,5821348;;96;1,016036
44;92,00307;2 + ;-1 + -1 + -1 + ;7,009497;1,282716;;176;7,292212
45;96,05335;2 + ;-1 + -1 + ;8,936455;1,73119;;211;10,66764
46;100,541;2 + ;-1 + -1 + -1 + ;3,361981;1,331293;;266;3,69327
47;106,1562;;-1 + -1 + ;3,490565;0,5559765;;96;2,046542
48;108,4135;;-1 + -1 + -1 + -1 + ;2,727322;0,4323317;;76;-0,8403456
49;110,2896;;-1 + -1 + ;3,336791;0,5682472;;91;1,905038
50;112,3746;;-1 + -1 + -1 + ;6,009882;1,048155;;141;4,058037
51;115,5246;;-1 + -1 + -1 + -1 + -1 + ;2,538022;1,256525;;311;-1,20546
52;121,5202;;-1 + ;0,5769773;0,03351037;;16;-0,3895122
53;122,3965;;-1 + -1 + ;4,388795;0,6848696;;106;3,073664
54;124,8006;;-1 + -1 + -1 + ;7,786564;1,42977;;181;6,216331
55;128,7346;;-1 + -1 + -1 + ;3,249793;0,452098;;81;0,7018917
56;130,6601;2 + ;-1 + -1 + -1 + ;7,768355;1,30607;;196;8,074424
57;134,9497;;-1 + -1 + -1 + ;3,917657;0,640196;;101;1,557853
58;137,3476;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,6367823;0,1319369;;46;-3,504845
59;138,1716;;-1 + -1 + -1 + -1 + ;-0,4779228;0,169952;;51;-4,307971
60;139,1324;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;9,378977;1,616251;;226;6,995218
61;144,2621;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,208574;0,1261922;;46;-5,082382
62;145,0495;;-1 + -1 + -1 + -1 + ;-0,5446945;0,1461686;;51;-4,398526
63;146,0056;;-1 + -1 + ;4,754258;0,7007148;;106;3,454972
64;148,1363;;-1 + ;6,045464;1,01417;;136;6,059635
65;151,3572;;-1 + -1 + -1 + -1 + ;-0,5454021;0,1451022;;42;-4,4003
66;152,1035;2 + ;-1 + -1 + -1 + -1 + ;9,944149;2,028724;;241;9,972874
67;157,3756;;-1 + -1 + -1 + -1 + ;2,780891;0,3097325;;62;-0,9093766
68;158,4245;2 + ;-1 + -1 + -1 + ;5,152864;1,036623;;141;5,189487
69;161,6014;;-1 + -1 + -1 + -1 + ;2,489991;0,2409739;;54;-1,269035
70;162,4627;;-1 + -1 + -1 + ;5,633218;0,9658031;;136;3,59902
71;165,6447;;-1 + -1 + -1 + -1 + -1 + ;5,971416;1,027456;;141;1,998873
72;168,7747;;-1 + -1 + ;2,522415;0,253456;;54;0,775872
73;170,2168;;-1 + -1 + -1 + -1 + ;5,018426;0,7499883;;111;1,768414
74;172,7474;;-1 + -1 + -1 + ;5,065332;0,8759242;;126;2,941255
75;175,572;;-1 + -1 + -1 + -1 + -1 + ;5,100348;0,8261172;;121;0,9264627
76;178,3456;;-1 + -1 + -1 + ;1,817624;0,1561634;;43;-1,026212
77;179,1003;;-1 + -1 + -1 + ;4,696358;0,770048;;116;2,466408
78;181,7698;;-1 + -1 + -1 + -1 + -1 + ;5,848625;0,9458215;;131;1,794447
79;184,7056;;-1 + -1 + -1 + -1 + -1 + ;-1,18443;0,1171729;;38;-6,067257
80;185,3329;2 + ;-1 + -1 + -1 + -1 + -1 + ;9,732206;1,871097;;226;8,603311
81;190,2764;;-1 + -1 + -1 + ;4,802007;0,7750272;;111;2,577033
82;192,7972;2 + ;-1 + -1 + ;5,315389;0,9829992;;136;6,298388
83;195,7723;;-1 + -1 + -1 + -1 + ;5,174676;0,848822;;121;2,023499
84;198,5336;2 + ;-1 + -1 + ;7,240119;1,439425;;181;8,679543
85;202,4579;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,2564508;0,1691837;;46;-3,087267
86;203,2484;;-1 + -1 + ;2,346865;0,2114607;;51;0,5583253
87;204,1991;;-1 + -1 + ;6,11414;1,136617;;151;5,250758
88;207,7145;;-1 + -1 + -1 + -1 + ;7,060972;1,257907;;161;4,318879
89;211,2409;;-1 + -1 + -1 + ;3,71578;0,5943962;;96;1,310176
90;213,4578;;-1 + -1 + -1 + ;2,692679;0,2735754;;58;-0,03374505
91;214,403;2 + ;-1 + -1 + -1 + ;5,910072;1,009201;;141;5,919274
92;217,7113;;-1 + ;4,643132;0,709024;;106;4,352155
93;220,1126;;-1 + -1 + -1 + -1 + ;7,162531;1,221439;;156;4,383971
94;223,5377;2 + 2 + ;-1 + -1 + -1 + -1 + ;17,20898;3,58301;;881;20,79197
95;241,4891;2 + ;-1 + ;5,504078;0,9632543;;131;7,467332
96;244,4152;;-1 + -1 + -1 + ;13,37183;2,553367;;291;12,92519
97;250,5282;2 + 2 + 2 + ;-1 + -1 + -1 + -1 + ;23,55584;4,788109;;516;30,34395
98;261,1498;;-1 + -1 + ;8,066842;1,464832;;181;7,531676
99;265,0683;2 + ;-1 + -1 + ;10,10465;2,054332;;241;12,15898
100;270,1894;;-1 + -1 + ;2,532863;0,2527104;;54;0,7855732
101;271,0791;2 + 2 + 2 + ;-1 + -1 + ;23,67153;4,973093;;536;32,64464
102;282,2499;;-1 + -1 + -1 + -1 + -1 + ;5,462298;0,8936824;;126;1,355981
103;285,1034;;-1 + -1 + ;2,31198;0,2186875;;50;0,530668
104;286,3983;;-1 + ;4,107294;0,6026238;;96;3,709918
105;288,5747;;-1 + -1 + -1 + -1 + -1 + ;10,11352;1,904894;;236;7,01841
106;293,642;;-1 + -1 + -1 + ;7,4571;1,350281;;171;5,807377
107;297,3289;;-1 + -1 + -1 + ;2,508321;0,2486802;;54;-0,2429988
108;298,757;;-1 + ;9,997572;2,096255;;331;11,09383
109;305,739;;-1 + -1 + -1 + ;7,101649;1,128667;;161;5,230316
110;309,2873;2 + 2 + ;-1 + ;10,93497;3,145125;;911;17,08007
111;327,7897;;-1 + -1 + -1 + ;7,160472;1,525609;;221;5,686079
112;332,0028;;-1 + -1 + -1 + ;9,004621;2,008884;;246;8,013505
113;337,4305;;-1 + -1 + -1 + ;6,867391;1,402895;;236;5,270286
114;342,4134;2 + ;-1 + -1 + -1 + -1 + ;7,597106;0,9424553;;191;6,539563
115;346,553;2 + 2 + 2 + ;-1 + -1 + -1 + -1 + ;20,69618;4,369633;;526;27,06581
116;357,4021;;-1 + ;3,810012;0,5327888;;91;3,342801
117;359,462;;-1 + -1 + ;0,2837818;0,2555653;;91;-1,460653
118;361,6422;;-1 + ;7,06113;1,172711;;152;7,233839
119;365,0181;2 + ;-1 + -1 + -1 + ;8,906157;1,633251;;201;9,539407
120;369,358;2 + ;-1 + -1 + -1 + ;6,054874;0,9602624;;181;6,015139
121;373,2769;2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;44,10141;9,253821;;1066;62,3552
122;394,8985;2 + 2 + 2 + ;-1 + -1 + -1 + -1 + ;18,80238;4,110883;;481;24,91327
123;404,7922;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,45433;1,937068;;246;5,391397
124;410,0971;2 + ;-1 + -1 + -1 + -1 + -1 + ;7,730186;2,299728;;996;7,029922
125;430,3362;2 + 2 + ;-1 + -1 + -1 + ;18,96997;3,625093;;446;23,59507
126;439,499;2 + ;-1 + -1 + -1 + ;14,26806;2,978548;;361;16,24659
127;447,0175;;-1 + -1 + -1 + ;3,173522;0,4806218;;86;0,654144
128;449,0945;2 + 2 + ;-1 + -1 + ;15,5376;3,043766;;466;20,58137
129;458,7215;2 + 2 + 2 + ;-1 + -1 + -1 + -1 + ;24,93582;4,852367;;571;31,78817
130;470,4776;2 + 2 + ;-1 + -1 + -1 + -1 + ;18,00778;3,228118;;426;21,2359
131;479,3131;2 + ;-1 + -1 + -1 + ;13,70263;2,39148;;341;15,0941
132;486,4451;2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;37,44378;7,695901;;871;54,13961
133;504,2109;2 + ;-1 + -1 + -1 + -1 + -1 + ;10,38657;1,927915;;271;9,314487
134;509,9793;2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;51,68705;9,940376;;1131;70,62739
135;532,908;2 + 2 + 2 + ;-1 + -1 + ;28,15698;5,590766;;626;37,74774
136;545,6845;2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + ;43,7307;8,805522;;996;62,5362
137;565,8868;2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;34,49691;6,955249;;811;46,45219
138;582,4283;2 + 2 + ;-1 + -1 + -1 + ;23,44433;4,631147;;556;29,07547
139;593,9034;;-1 + -1 + -1 + -1 + ;7,780537;1,20599;;206;4,986526
140;597,8253;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;124,6004;26,02729;;2891;183,6275
141;656,1469;2 + 2 + 2 + 2 + 2 + ;-1 + -1 + ;39,71552;8,107126;;906;55,82267
142;674,5804;2 + 2 + 2 + 2 + ;-1 + -1 + ;25,72174;4,842354;;591;36,56408
143;686,7019;2 + 2 + ;-1 + -1 + ;16,52015;3,284727;;411;21,80489
144;695,3218;2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + -1 + ;43,93315;8,245446;;1001;58,17852
145;715,698;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;42,88454;15,32179;;4421;71,20648
146;804,4431;2 + ;-1 + -1 + -1 + -1 + ;10,24836;1,976045;;251;10,22441
147;809,7737;2 + ;-1 + ;11,686;2,528228;;616;15,21424
148;822,4589;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;80,61301;16,7189;;2126;116,3317
149;865,2855;2 + 2 + 2 + ;-1 + ;30,05229;5,915885;;706;40,96818
150;879,725;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + ;130,6938;26,108;;3006;188,8018
151;940,1348;2 + 2 + ;-1 + -1 + -1 + -1 + ;18,53223;3,812946;;441;22,34519
152;949,3343;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;82,58658;17,55475;;1946;121,1412
153;988,5784;;-1 + ;8,208234;1,450544;;191;8,658781
154;992,6553;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + ;137,8336;28,25472;;3121;203,088
155;1055,441;2 + 2 + ;-1 + ;17,45992;3,418379;;401;23,87831
156;1063,695;2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + ;51,09554;10,84409;;1221;72,93969
157;1088,513;2 + 2 + ;-1 + -1 + -1 + -1 + ;16,3372;3,006722;;401;19,34392
158;1096,756;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + -1 + -1 + ;105,0124;21,50935;;2426;150,522
159;1145,565;;-1 + -1 + -1 + ;5,630377;0,9239287;;146;3,554307
160;1148,813;2 + ;-1 + -1 + -1 + -1 + ;8,176788;1,821139;;231;7,997924
161;1153,674;2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + ;89,03304;18,80369;;2011;131,8367
162;1194,221;2 + 2 + 2 + 2 + ;-1 + -1 + ;32,28822;6,497011;;761;44,78522
163;1209,742;2 + 2 + 2 + 2 + 2 + 2 + ;-1 + -1 + ;45,49722;9,30066;;1061;64,79789
164;1231,264;;-1 + ;3,125998;0,4341396;;76;2,560138
165;1232,598;2 + ;-1 + -1 + -1 + -1 + -1 + ;15,92873;3,185459;;377;16,11419
166;1240,625;2 + ;-1 + ;10,55112;1,981228;;246;13,53235
167;1245,841;;-1 + ;7,494841;1,299412;;176;7,794252
168;1249,626;2 + ;-1 + -1 + ;11,61954;1,909649;;246;13,52919
