Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;6,732187;;-2 + -2 + ;2,774889;1,144927;;134;-0,08018517
2;31,79312;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;4,249356;1,976377;;200;0,2257347
3;32,81258;;-2 + ;3,963525;1,716609;;267;3,680135
4;33,69866;1 + ;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;7,446853;4,023123;;550;6,469976
5;35,41718;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;3,473366;1,30341;;200;-1,223224
6;36,14927;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,018877;1,121754;;300;-4,859369
7;37,6411;;-2 + -2 + -2 + ;1,790093;1,548406;;116;-2,661501
8;38,07845;;-2 + -2 + -2 + -2 + ;0,5676021;0,7592573;;134;-4,673141
9;38,61412;;-2 + -2 + -2 + -2 + ;0,07125293;0,6327258;;83;-7,296021
10;38,97855;;-2 + ;4,026156;2,204047;;317;4,230202
11;40,04298;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + ;5,861035;1,969613;;316;-6,169352
12;41,21124;;-2 + -2 + -2 + -2 + -2 + -2 + ;4,700517;2,22314;;334;2,92365
13;42,49755;;-2 + -2 + -2 + -2 + ;0,165601;0,7205758;;333;-7,113823
14;43,8008;;-2 + -2 + -2 + -2 + -2 + ;4,61435;1,29594;;233;-0,08971119
15;44,74872;;-2 + -2 + -2 + ;1,648807;0,9844093;;200;-3,366783
16;45,53351;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,310799;1,781729;;217;-1,907475
17;46,3946;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;1,809496;1,682469;;250;-2,508036
18;47,38422;;-2 + -2 + -2 + -2 + -2 + -2 + ;6,236712;2,976515;;417;3,213224
19;49,09068;;-2 + -2 + -2 + ;9,188277;3,806897;;733;6,995193
20;52,03642;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,227451;1,503402;;267;-2,269145
21;52,97457;;-2 + -2 + -2 + -2 + -2 + -2 + ;1,792332;1,965271;;233;-8,242395
22;53,71847;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,638633;0,8380349;;200;-2,523333
23;54,38283;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + ;6,658558;3,048299;;567;5,706857
24;56,0825;1 + ;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;7,477393;3,741921;;483;6,219311
25;57,53245;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + ;0,2256604;0,6160061;;117;-5,158334
26;57,9178;;-2 + -2 + -2 + -2 + -2 + -2 + ;2,084881;0,8670474;;83;-3,048071
27;58,25208;;-2 + -2 + -2 + -2 + -2 + -2 + ;2,921831;2,535337;;267;-0,5428352
28;59,20813;;-2 + -2 + -2 + -2 + -2 + -2 + ;0,008165851;-0,01474221;;150;-6,006576
29;59,81088;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;4,265445;2,268266;;300;2,533715
30;60,95212;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;5,615631;1,396007;;450;-0,9883633
