Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;10,26437;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,203074;0,7154514;;334;7,918519
2;26,1299;;-1 + -1 + -1 + ;7,351329;0,4518038;;317;4,803131
3;27,48492;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,520342;0,2370399;;133;-0,2426183
4;28,04095;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,6735719;0,176085;;83;-6,150343
5;28,43123;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,3174946;0,1802636;;184;-2,502242
6;29,2833;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,718216;0,7973334;;166;4,515552
7;30,22028;;-1 + -1 + -1 + -1 + -1 + ;10,61262;0,8212949;;334;6,433919
8;32,23178;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,363941;0,2023312;;150;0,5662721
9;32,88351;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,147877;0,1004162;;100;-4,047461
10;33,36713;;-1 + -1 + -1 + -1 + ;5,900208;0,5942684;;333;4,494479
11;34,82938;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,15956;0,3722975;;133;-1,468142
12;35,48825;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,143493;0,3644511;;184;0,5079422
13;36,3684;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,064725;0,4590144;;350;2,523741
14;38,08673;;-1 + -1 + ;4,552095;0,4116064;;183;2,963702
15;38,91258;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,727275;0,3501931;;333;2,077468
