Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;5,548262;;-2 + -2 + -2 + -2 + -2 + ;0,9984342;1,0985;;134;-3,903066
2;9,494277;;-2 + -2 + -2 + -2 + -2 + ;0,2703978;0,6325097;;83;-5,097093
3;10,09961;;-2 + -2 + -2 + -2 + -2 + ;2,610258;1,459041;;100;-5,9307
4;10,5886;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,099648;1,286111;;84;-0,6142409
5;11,03673;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;0,6181118;0,9539207;;100;-4,427968
6;11,50909;;-2 + -2 + -2 + ;2,474588;2,22029;;116;-1,305122
7;12,04024;1 + ;-2 + -2 + -2 + ;3,697525;3,131866;;167;1,829391
8;12,7679;;-2 + -2 + -2 + -2 + -2 + -2 + ;-0,1232565;0,6409767;;100;-5,48228
9;13,4494;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;3,43715;2,154739;;183;-0,408112
10;14,31855;;-2 + -2 + -2 + -2 + -2 + -2 + ;0,2667324;0,8876787;;100;-6,845589
11;14,90419;;-2 + -2 + -2 + -2 + ;2,563284;2,070833;;117;-3,365885
12;15,45408;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;1,09767;0,8206111;;117;-6,081719
13;16,09178;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,043588;1,681022;;100;-6,27539
14;16,68855;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;2,881859;2,221517;;166;-0,8966246
15;17,45856;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;1,60439;1,030147;;117;-1,365463
16;18,14418;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;1,647667;1,078914;;100;-3,273418
17;18,77782;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;0,3308092;1,019055;;150;-6,650136
18;19,7928;;-2 + -2 + -2 + -2 + ;0,6751087;0,8361533;;100;-6,488738
19;20,45927;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;0,0308644;0,6577923;;100;-5,311343
20;21,1853;;-2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + -2 + ;0,6976949;0,7707155;;67;-4,53159
21;21,69913;;-2 + -2 + -2 + ;0,9159481;0,7624524;;83;-4,321599
22;22,18708;;-2 + -2 + -2 + -2 + -2 + -2 + ;2,415459;1,006696;;100;-6,577846
23;22,86302;;-2 + -2 + -2 + ;4,805153;2,254611;;267;1,059764
