Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;6,184513;;-1 + -1 + -1 + -1 + ;0,09813668;0,213636;;134;-3,688227
2;37,35988;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,412935;0,295951;;183;-0,2911124
3;38,70018;;-1 + -1 + -1 + -1 + -1 + ;3,759429;0,7811198;;250;2,540549
4;41,82248;;-1 + -1 + -1 + -1 + -1 + ;2,857874;0,4252322;;200;1,283107
5;43,19829;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2532988;0,1437215;;134;-4,60298
6;44,15357;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,626517;0,2383218;;100;0,864839
7;44,91186;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,571437;0,6417153;;216;-1,786847
8;46,30766;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,900752;0,1981346;;84;-0,9011133
9;47,01006;;-1 + -1 + -1 + -1 + ;-0,1202813;0,1347855;;66;-3,985496
10;47,50362;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,586065;0,1742852;;134;-1,23965
11;48,40892;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,581674;0,4008746;;183;-0,01745129
12;49,6124;;-1 + -1 + -1 + ;4,633709;0,4366581;;233;2,070366
13;51,02204;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9977842;0,2380421;;184;-1,764174
14;52,32199;;-1 + -1 + -1 + -1 + -1 + ;2,222333;0,3158789;;200;-0,4617865
15;53,59595;;-1 + -1 + -1 + -1 + -1 + ;3,993739;0,6399194;;300;1,633657
16;55,35744;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,8592216;0,2419235;;250;-1,898854
17;56,96763;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5698186;0,21469;;133;-6,215491
18;57,87858;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2305336;0,1477603;;67;-1,621706
19;58,4162;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,4723157;0,1968684;;66;-3,330816
20;58,9211;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,261241;0,2179847;;117;-2,520774
21;59,68664;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,514384;0,3147665;;100;-2,170849
