Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;6,472825;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,443354;0,3281442;;367;2,7715
2;87,92815;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;12,17069;1,054664;;384;12,22535
3;100,6418;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,444155;0,397085;;266;3,84124
4;101,7628;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,871372;0,2793953;;117;0,1507659
5;102,3225;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2471469;0,1308615;;183;-3,621991
6;102,9382;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,32842;0,6978224;;317;8,026242
7;103,9811;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,257755;0,1895967;;150;1,447352
8;104,6649;;-1 + -1 + -1 + ;7,800939;0,6847985;;283;5,485734
9;105,619;;-1 + ;17,04344;1,235629;;517;17,27907
10;107,32;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,407972;0,3155171;;117;0,7234895
11;108,0382;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,482888;0,3495971;;150;-0,167515
12;108,5891;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;12,82074;0,9501566;;516;10,77089
13;110,1642;;-1 + -1 + -1 + -1 + -1 + ;0,1231526;0,1386618;;167;-1,738186
14;111,0797;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,949647;0,1993099;;183;-0,8510435
15;111,7344;;-1 + -1 + -1 + ;2,806846;0,2608514;;167;0,06769705
16;112,3912;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,8001351;0,1771844;;67;-2,022681
17;112,7292;;-1 + -1 + -1 + -1 + -1 + ;4,426433;0,2748355;;200;0,7012682
18;113,4052;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,036731;0,1644051;;100;-3,872326
19;113,8486;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,963364;0,6306657;;150;2,594028
20;114,3551;;-1 + -1 + -1 + ;0,5639014;0,190958;;216;-2,245141
21;115,2565;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,547566;0,2718304;;200;0,8193963
22;115,9942;2 + ;-1 + -1 + ;8,067074;0,8032079;;300;8,870277
23;116,9941;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,152491;0,3549767;;250;2,507468
24;118,0277;;-1 + -1 + -1 + ;1,231277;0,1801061;;117;-1,588617
25;118,5515;;-1 + -1 + -1 + ;4,17626;0,302743;;200;1,479006
26;119,2044;;-1 + -1 + -1 + ;1,170335;0,2224233;;100;-1,607242
27;119,6658;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,727761;0,1821035;;67;-2,090135
28;119,9641;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;7,252805;0,4402682;;233;4,693077
29;120,738;;-1 + -1 + -1 + -1 + ;4,012804;0,2979454;;350;0,3107491
30;121,8579;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,419367;0,7294158;;267;6,148787
31;122,8856;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,750926;0,3468507;;250;-0,9022236
32;123,8497;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;23,05732;1,372574;;783;20,42986
33;126,2907;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;14,39054;0,6390554;;517;12,0296
34;128,2796;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,733147;0,3072728;;200;0,04041934
35;129,3039;;-1 + -1 + -1 + -1 + -1 + ;1,871326;0,1984999;;83;0,06982565
36;129,7107;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,765008;0,3644147;;167;-0,8705769
37;130,2327;;-1 + -1 + ;4,771636;0,2519898;;183;3,023626
38;130,9361;;-1 + -1 + -1 + -1 + ;2,015726;0,1971912;;233;-1,787082
39;131,78;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,8120212;0,1503536;;84;-3,661668
40;132,2314;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,347734;0,2105432;;83;-1,441723
41;132,5526;;-1 + -1 + -1 + ;5,494083;0,4982162;;183;2,992301
42;133,1665;;-1 + -1 + ;-0,3541255;0,1968161;;100;-2,15731
43;133,6208;;-1 + -1 + -1 + -1 + ;0,05152932;0,1740809;;117;-1,77439
44;134,0324;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,7993482;0,1732927;;117;-3,027359
45;134,505;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,77618;0,2745212;;233;3,050702
46;135,2974;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;9,144553;0,6433256;;267;6,787881
47;136,2247;;-1 + ;6,973491;0,422402;;200;6,395893
48;137,0602;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,541685;0,2249626;;133;0,7666464
49;137,5864;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,076914;0,21885;;100;0,2957644
50;137,9748;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,3606671;0,1555904;;67;-3,205077
51;138,2573;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,972324;0,4667465;;416;3,43907
52;139,5024;;-1 + -1 + -1 + ;4,660039;0,4789348;;150;2,138976
53;140,231;;-1 + -1 + -1 + -1 + ;4,003603;0,3585549;;184;1,362158
54;140,8929;;-1 + -1 + -1 + -1 + -1 + ;3,712171;0,2027656;;166;-0,08506322
55;141,5331;;-1 + -1 + -1 + -1 + ;7,58262;0,6271288;;317;6,20975
56;142,5468;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,329995;0,6149376;;250;7,944931
57;143,4936;;-1 + -1 + -1 + ;4,34491;0,4584984;;133;1,803408
