Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;5,722287;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,586027;0,2324111;;167;-3,181562
2;13,37223;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,073822;0,07328965;;217;-0,8528881
3;14,60125;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,264705;0,6036276;;150;2,868331
4;15,8312;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,050662;0,3739613;;200;2,424621
5;17,17529;;-1 + -1 + -1 + ;6,852254;0,6255835;;183;4,477839
6;18,36932;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,016638;0,3735224;;167;2,39016
7;19,47321;;-1 + -1 + -1 + -1 + -1 + ;2,413497;0,2242477;;117;0,6377447
8;20,19793;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,811442;0,2126877;;100;-0,9758699
9;20,83642;;-1 + -1 + -1 + -1 + ;2,417048;0,3359927;;216;1,753041
10;22,09954;;-1 + -1 + -1 + ;3,39491;0,4846901;;167;0,8796003
11;23,05656;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,04259;0,4819232;;283;8,524506
12;24,58797;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,79866;0,3139057;;234;4,112565
13;26,08303;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,64492;0,4991537;;116;1,144073
14;26,8688;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,154797;0,6662073;;200;0,8210039
15;27,95658;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,376492;0,2521637;;134;1,628655
16;28,8314;;-1 + -1 + -1 + -1 + -1 + ;3,513152;0,1999775;;300;2,71313
17;30,48802;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,873117;0,1851591;;150;-0,9417226
18;31,44678;;-1 + -1 + -1 + -1 + ;6,261035;0,3252017;;350;2,586235
19;33,1744;;-1 + ;6,330008;0,2820953;;416;5,612104
20;35,39129;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2593397;0,1702834;;84;-2,570377
21;36,17837;;-1 + -1 + -1 + ;7,53389;0,3686561;;533;4,902546
22;38,69454;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,8486629;0,09476381;;367;-3,753899
23;40,79239;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,258539;0,480886;;250;1,739425
24;42,34895;;-1 + ;5,830653;0,5116009;;383;5,342254
25;44,29792;;-1 + -1 + ;5,663111;0,5354739;;300;4,198585
26;45,98085;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;19,13371;1,2975;;733;16,43124
27;49,59136;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,627184;0,2296349;;250;-0,1431808
