Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;5,767622;;-1 + -1 + -1 + -1 + ;9,235811;1,216073;;334;7,451883
2;31,66529;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,208915;0,7981001;;267;0,007014751
3;33,35545;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,181109;0,6606911;;100;-0,1581998
4;33,94395;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1466106;0,4000409;;83;-2,453348
5;36,18174;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,72173;0,5151198;;117;1,236848
6;36,89324;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,691546;1,099972;;216;2,791519
7;38,21449;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,986142;1,052066;;250;3,038209
8;39,82271;;-1 + -1 + -1 + -1 + -1 + ;3,751957;0,6110043;;150;-0,6370392
9;40,89075;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,755467;1,042901;;234;3,798369
10;42,41595;;-1 + -1 + -1 + -1 + ;7,218084;1,484818;;266;4,702902
11;44,06965;;-1 + -1 + ;3,511928;0,5767027;;234;2,088631
12;45,55592;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,805293;0,6713694;;466;3,476662
13;48,22103;;-1 + -1 + -1 + ;4,549175;0,7286114;;100;2,277785
14;49,26999;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,37097;0,4401844;;267;-0,1888454
15;50,75536;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,024871;0,4881713;;100;0,5130429
16;51,55332;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,248792;0,9654409;;217;2,214232
17;52,86702;;-1 + -1 + -1 + ;7,449057;1,493314;;516;5,942368
18;55,7399;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,7688924;0,3326298;;67;-5,898478
19;56,64043;5 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;9,021006;1,389966;;600;12,41097
20;59,79131;;-1 + -1 + -1 + -1 + -1 + ;6,631727;0,5856326;;267;3,217361
21;61,83711;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,745952;0,4216281;;116;1,16758
22;62,78323;;-1 + ;0,9046269;0,3325497;;84;0,2371765
23;63,36224;;-1 + -1 + ;3,465221;0,6375776;;266;2,102797
24;64,90527;;-1 + -1 + ;0,6247204;0,3782672;;84;-0,9970131
25;65,69912;;-1 + ;2,551018;0,6967269;;116;2,247746
26;66,48416;;-1 + -1 + -1 + ;3,468488;0,6860225;;134;1,15451
27;67,36356;;-1 + -1 + -1 + -1 + ;9,718866;1,235041;;450;8,953906
28;69,99687;;-1 + -1 + -1 + ;2,376215;0,5701278;;83;-0,05365586
29;70,99873;;-1 + -1 + -1 + -1 + ;2,648975;0,6270725;;83;-0,7239525
