Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;6,041157;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,063337;0,2826054;;234;-1,654058
2;13,42901;;-1 + -1 + -1 + ;0,902199;0,2116249;;133;-1,886176
3;14,07973;;-1 + -1 + -1 + -1 + -1 + ;3,509925;0,4269033;;184;-1,06317
4;14,80807;;-1 + -1 + ;3,597404;0,3271027;;183;1,924507
5;15,57321;;-1 + -1 + -1 + -1 + ;0,7267959;0,2229889;;83;-3,050215
6;15,99889;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,1296;0,2881501;;217;-0,5822496
7;16,9122;;-1 + -1 + -1 + ;2,461771;0,1715643;;167;-0,3666651
8;17,57625;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,228634;1,468921;;416;7,697557
9;19,53336;;-1 + -1 + -1 + ;0,4968493;0,1744383;;84;-2,328712
10;19,8427;;-1 + -1 + -1 + ;10,59185;1,154431;;666;8,746274
11;22,28016;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,201589;0,4674069;;167;0,6689959
12;22,91035;;-1 + -1 + -1 + -1 + ;0,4500341;0,1642267;;183;-3,385739
13;23,85071;;-1 + -1 + -1 + ;1,379141;0,2645928;;100;-1,356266
14;24,38154;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,417392;0,533983;;234;2,951375
15;25,47814;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,932541;1,110185;;316;5,042723
16;26,92435;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,378118;0,6169752;;150;-2,004908
17;27,64881;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,2518968;0,1117858;;284;-1,140111
18;28,72122;1 + ;-1 + -1 + -1 + ;8,356236;1,185388;;416;7,541629
19;30,14619;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,22701;0,3348882;;84;-1,438102
20;30,4754;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,46334;0,2650467;;116;0,728387
21;30,94144;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;10,00307;1,10964;;434;11,11272
22;32,43771;;-1 + -1 + ;1,274044;0,2363362;;100;-0,4896202
23;32,83566;;-1 + -1 + -1 + ;1,813233;0,2821851;;200;-0,9045818
24;33,5845;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4865645;0,2196546;;66;-3,293781
25;33,85158;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,129503;0,4686308;;217;0,5981352
26;34,84764;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3106556;0,1626782;;83;-1,526666
27;35,17551;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,106946;0,2543415;;150;-5,638712
28;35,82347;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,6060941;0,1475465;;267;-1,24636
29;36,87168;;-1 + -1 + ;1,194793;0,1995176;;250;-0,6056888
30;37,77412;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,955245;0,3462172;;133;-0,6985388
31;38,24403;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,483763;0,5042496;;300;1,988014
32;39,3255;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,103378;0,3225153;;117;-3,574108
33;39,81921;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,424433;0,285409;;217;0,7098432
34;40,64581;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,118613;0,7173524;;316;4,835963
35;41,8947;;-1 + -1 + ;3,450245;0,3443107;;234;1,794554
36;42,97877;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,278924;0,4999351;;250;1,778859
37;44,07893;;-1 + -1 + -1 + ;4,111876;0,5555543;;350;1,667433
38;45,61529;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,05843766;0,1276525;;100;-2,81391
39;46,08448;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;7,659803;0,7878886;;350;5,447691
40;47,45197;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,122847;0,3056667;;283;-0,571486
41;48,55113;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,121207;0,2116698;;133;-4,667123
42;49,01931;;-1 + -1 + -1 + -1 + -1 + ;2,534886;0,37023;;167;-0,09488416
43;49,78799;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,395309;0,4807211;;400;3,876028
44;51,54899;;-1 + -1 + -1 + -1 + -1 + ;1,0527;0,3062375;;150;-2,641063
45;52,12166;;-1 + -1 + -1 + -1 + -1 + ;0,9765997;0,2477346;;83;-0,7756656
46;52,54102;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;11,60918;1,009427;;700;7,61861
47;55,34179;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,8031901;0,203045;;200;-1,993765
48;56,18272;1 + ;-1 + -1 + ;14,4074;1,523742;;800;14,93115
49;58,74948;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,059329;0,3818499;;117;-3,558822
50;59,17988;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,299139;0,2504073;;100;-1,450453
51;59,548;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,426436;0,2723295;;150;0,6987646
52;60,11435;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5159236;0,1604745;;67;-2,323602
53;60,36761;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,558258;0,3262391;;116;0,8844967
54;60,87128;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,804151;0,3173437;;250;-0,8785059
55;61,76255;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,5155;0,295813;;184;-6,188687
56;62,53867;;-1 + -1 + -1 + ;0,6086256;0,1892679;;100;-2,202106
57;62,89399;;-1 + -1 + -1 + -1 + ;2,773588;0,3179808;;133;0,09156847
58;63,3554;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,119742;0,4228387;;200;1,542581
59;64,07798;;-1 + -1 + -1 + -1 + ;0,7303491;0,1916636;;100;-3,077987
60;64,43513;;-1 + -1 + -1 + -1 + -1 + -1 + ;7,68493;0,8963318;;433;4,581262
61;65,90877;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,293627;0,2390172;;134;-2,467356
62;66,38905;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,925749;0,2806419;;83;-0,7936094
63;66,74016;;-1 + -1 + -1 + ;-0,292035;0,1918289;;167;-3,100206
64;67,35153;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,576845;0,2566486;;166;-1,166506
65;67,99231;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3048874;0,1643966;;84;-2,530716
66;68,35526;;-1 + -1 + -1 + -1 + -1 + ;-0,2755249;0,1767026;;66;-3,098822
67;68,60114;;-1 + -1 + -1 + ;0,4902005;0,1973013;;284;-2,312498
68;69,67854;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,8148236;0,1404282;;150;-4,674396
69;70,2722;1 + 1 + ;-1 + -1 + -1 + -1 + ;9,429989;1,901707;;650;9,331697
70;72,41251;;-1 + -1 + -1 + ;1,262329;0,2360776;;216;-1,501594
71;73,20843;;-1 + ;0,2746271;0,2102711;;100;-0,5151018
72;73,59159;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,994312;0,5215228;;200;1,515832
73;74,368;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5583721;0,1573827;;134;-2,284245
74;74,87772;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5395694;0,2297438;;100;-3,230687
75;75,34746;;-1 + -1 + -1 + -1 + -1 + ;2,831313;0,405839;;300;0,2371507
76;76,46858;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,3537711;0,1422755;;66;-4,211495
77;76,74222;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,228217;0,2170946;;134;-2,554688
78;77,29594;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,260587;0,6085046;;350;1,869094
79;78,6198;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,899431;0,547056;;150;-0,5535133
80;79,14897;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,213389;0,4749794;;300;2,688367
