Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;14,42952;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,359508;0,1487874;;84;-1,491704
2;40,8308;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1475241;0,001986854;;17;-5,850489
3;41,231;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,07721557;-0,001783613;;16;-5,924568
4;41,36576;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2279689;0,0009077104;;17;-2,771123
5;41,4606;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,160411;-0,002992747;;17;-1,842582
6;41,60793;;-1 + -1 + -1 + ;-0,04743453;-0,003666296;;16;-1,051101
7;41,70042;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3287365;0,0025839;;17;-2,66868
8;41,79359;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4256204;-6,259238E-05;;17;-2,574442
9;41,91329;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,06611192;-0,005098196;;16;-2,07121
10;41,97373;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1079185;-5,255843E-05;;34;-2,892134
11;42,3888;;-1 + -1 + -1 + -1 + -1 + ;0,1856884;0,009692129;;33;-2,804619
12;42,77996;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3961731;0,01429177;;17;-3,589535
13;42,85023;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3652495;0,003660569;;16;-3,63109
14;42,91143;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2689039;0,000686706;;17;-2,730409
15;43,00267;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1466876;0,0001091409;;17;-2,853203
16;43,07846;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1634313;-0,00522736;;33;-2,841796
17;43,24024;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1201371;-0,001368492;;17;-2,881231
18;43,3126;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,168034;0,0001227614;;16;-2,831843
19;43,37272;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,05919356;-0,008570259;;17;-2,067764
20;43,46048;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,07176723;0,002173966;;17;-2,926059
21;43,52868;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,05054806;-0,001002237;;16;-2,950454
22;43,58908;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1810629;-0,001414897;;17;-1,820352
23;43,71075;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,09933463;0,0001096611;;17;-4,900556
24;43,78555;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,06015991;-0,003855805;;16;-2,064016
25;43,87114;;-1 + -1 + -1 + -1 + ;-0,110921;-0,003876942;;17;-2,114798
26;43,93365;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1351735;0,00287932;;17;-2,861947
27;44,02741;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,02275387;-0,003841299;;16;-2,026595
28;44,08703;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,242587;0,001316008;;17;-2,756097
29;44,17617;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2080054;-0,004112967;;17;-1,796108
30;44,24204;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,04092463;0,001505755;;16;-5,95757
31;44,30439;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,146941;-0,001159172;;17;-1,854218
32;44,39225;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,185352;-0,002760057;;33;-2,817408
33;44,5174;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,04096047;-0,007622902;;17;-2,048583
34;44,70219;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,1942339;-0,003968874;;50;-2,198203
35;44,94353;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,1358714;0,0004862395;;33;-2,135385
36;45,15543;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3911937;-0,001842285;;34;-2,610649
37;45,46289;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2519834;-0,0007247498;;16;-2,748741
38;45,5898;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2821231;-0,002396927;;34;-2,720274
39;45,75985;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1064416;-0,0006560974;;16;-2,894214
40;45,85109;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,101797;-0,00193067;;17;-1,900134
