Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;6,52162;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;7,225754;0,8388797;;451;5,064634
2;14,76171;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4507007;0,04023965;;16;-2,50906
3;14,82732;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3611584;0,006784642;;17;-2,632057
4;14,91699;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,42982;0,01390065;;17;-1,556279
5;14,98671;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1710962;0,005279349;;16;-2,823624
6;15,07285;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2916219;0,009028931;;17;-2,699349
7;15,13663;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1064767;0,0001337137;;17;-2,89339
8;15,23444;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1523131;0,005886654;;16;-2,8418
9;15,30038;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2634862;0,006412993;;17;-1,730101
10;15,38865;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,926048;0,4730887;;183;1,399138
11;16,17991;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2359847;0,0006053211;;17;-2,76341
12;16,24108;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,07994024;-0,004358468;;17;-2,084299
13;16,30714;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,1671039;0,003465248;;16;-2,829431
14;16,39186;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1810849;-0,001078501;;17;-2,819993
15;16,45138;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4830011;0,00761614;;17;-2,509383
16;16,54731;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2792684;0,004911903;;16;-3,71582
17;16,61325;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,2009754;0,000343156;;17;-1,798681
18;16,69085;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,0007424373;-0,005344911;;17;-2,004602
19;16,75855;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,1213882;0,00135562;;16;-3,120033
20;16,82328;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3641492;0,00324619;;17;-2,632605
21;16,90775;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1455761;-4,02669E-05;;17;-2,854464
22;16,97709;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,190375;-0,0008934921;;16;-5,810519
23;17,07316;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1992962;-0,0004328366;;17;-2,801137
24;17,16442;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4060987;-0,0004173896;;50;-1,594319
25;17,35773;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2604575;0,003611355;;17;-2,735931
26;17,42284;;-1 + -1 + -1 + -1 + -1 + ;0,02859348;-0,004422537;;16;-0,9758291
27;17,50197;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4381479;0,007198986;;17;-2,554653
28;17,77496;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1297799;3,766222E-05;;67;-2,870182
29;18,16603;;-1 + -1 + -1 + ;0,4623384;-0,004441632;;50;-1,542103
30;18,37514;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2851605;0,007847806;;16;-2,706992
31;18,46101;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2348082;0,004527048;;17;-2,760665
32;18,52785;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1977662;0,00101051;;17;-2,801223
33;18,65352;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,2751092;0,01818614;;33;-3,706705
34;18,78901;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5048115;0,0337646;;17;-2,461424
35;18,86187;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2944835;0,01152658;;16;-3,69399
36;18,92518;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,483419;-0,01924533;;17;-2,502664
37;19,01363;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,06039273;0,007636371;;17;-0,9319709
38;19,08154;;-1 + -1 + -1 + ;0,01510476;-0,0009582284;;16;-0,9858534
39;19,16855;;-1 + -1 + -1 + -1 + -1 + ;0,4464168;0,0158735;;17;-1,53771
