Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;5,691823;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,034485;0,2498729;;417;-0,7156422
2;13,66609;;-1 + -1 + -1 + ;1,489946;0,2644004;;100;-1,245654
3;14,03773;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,04658382;0,1631359;;84;-1,79028
4;14,33211;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9284401;0,1951908;;83;-1,876369
5;14,64598;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,371884;0,15833;;117;-0,469786
6;15,11281;;-1 + -1 + -1 + -1 + -1 + ;1,549399;0,3074245;;200;-0,1431768
7;15,93821;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,158756;0,3342771;;300;1,493032
8;16,95045;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,566233;0,3475571;;200;0,9137893
9;17,6476;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,874012;0,5037252;;300;2,377739
10;18,62453;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,280273;0,5404183;;233;1,82069
11;19,42597;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,413976;0,262641;;217;-4,323382
12;20,18165;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,556883;0,2295291;;250;-1,213588
13;21,03776;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,218627;0,2240636;;100;-0,5573092
14;21,3996;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,337179;0,4499709;;216;-1,212849
15;22,15253;;-1 + -1 + -1 + ;4,051906;0,3541236;;234;1,40603
16;23,0569;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,226385;0,2886106;;83;-1,485004
17;23,368;;-1 + -1 + ;3,567737;0,3410564;;317;1,908792
18;24,43575;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,161746;0,2401541;;100;-1,5981
19;24,79803;;-1 + ;-0,1691159;0,1352861;;133;-1,03383
20;25,26405;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,392133;0,2402871;;100;-0,3675804
21;25,61986;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,147257;0,5959107;;267;1,743167
22;26,51219;;-1 + -1 + -1 + -1 + -1 + ;5,75401;0,5136995;;383;3,267713
23;27,78252;;-1 + -1 + -1 + -1 + -1 + ;1,417576;0,2350617;;133;-1,347363
24;28,23507;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,776603;0,5088644;;484;2,285467
25;29,95816;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,80063;0,3178884;;183;-0,8814819
26;30,6327;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,8444751;0,2275435;;117;-1,927982
27;31,04386;;-1 + -1 + -1 + ;5,662126;0,6983064;;366;3,360433
28;32,33878;;-1 + -1 + -1 + -1 + -1 + ;-0,2087157;0,1501234;;234;-3,058592
29;33,16021;;-1 + -1 + -1 + -1 + -1 + ;0,7081579;0,1936871;;83;-1,098155
30;33,46505;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4661098;0,1711445;;67;-2,362746
31;33,68097;;-1 + -1 + -1 + -1 + ;0,8908759;0,2530088;;66;-2,856115
32;33,98295;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,809822;0,2528173;;184;-1,93736
33;34,71846;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,249513;0,4186506;;116;-0,331836
34;35,12235;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,772496;0,5449024;;384;3,317398
35;36,3954;;-1 + -1 + ;7,504974;0,9346046;;366;6,439577
36;37,60137;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9206923;0,1846669;;117;-2,894641
37;38,02154;;-1 + -1 + -1 + -1 + ;-0,3228415;0,1199357;;183;-4,202906
38;38,66502;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,037252;0,1937217;;200;-2,769027
39;39,37722;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,6117717;0,2294459;;150;-2,158782
40;39,88277;;-1 + -1 + ;1,399949;0,2266403;;184;-0,37341
41;40,57932;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,7123458;0,1568165;;183;-3,130838
42;41,24589;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,659745;0,2962383;;117;-0,0440166
43;41,67791;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,132998;0,7614107;;350;3,894407
44;42,8376;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,202124;0,3519065;;250;-0,4459684
45;43,68498;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;13,06294;1,171646;;716;11,23458
46;45,96903;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,963116;0,3350048;;134;-0,7018802
47;46,44177;;-1 + -1 + -1 + -1 + ;2,182717;0,3494996;;166;-1,467782
48;47,10593;;-1 + -1 + ;1,097626;0,2793377;;217;-0,6230365
49;47,92417;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,350649;0,6244203;;217;0,9750693
50;48,6827;;-1 + -1 + ;1,287421;0,2361352;;183;-0,476444
51;49,30785;;-1 + -1 + -1 + -1 + ;2,204119;0,3131109;;200;-1,48277
52;50,03212;;-1 + -1 + -1 + -1 + ;1,048263;0,2800556;;100;-2,671682
53;50,42607;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,541095;0,2447739;;133;-1,214131
54;50,86946;;-1 + -1 + -1 + -1 + ;1,948848;0,2467917;;100;-1,80436
55;51,25674;;-1 + -1 + -1 + -1 + -1 + ;1,541634;0,3636774;;84;-3,094689
56;51,57255;;-1 + -1 + ;-0,7187132;0,1566061;;116;-2,562107
57;51,96951;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,6735766;0,1783967;;67;-2,148026
